"","Indice","Latitud","Longitud","Sector","Hora","colClasses"
"69",257,-0.218603,-78.511359,"ND","17:41:09","numeric"
"70",4,-0.224385,-78.5137859," CENTRO HISTORICO","00:40:15","numeric"
"71",187,-0.258843,-78.5297155,"ND","01:50:49","numeric"
"72",12,-0.2227623,-78.5170072," CENTRO HISTORICO","15:21:52","character"
"73",66,-0.2689066,-78.4674454," LA CAROLINA","13:17:38","POSIXct"
"74",140,-0.1801369,-78.4671879," Antiguo Convenio","02:14:06","numeric"
"75",163,-0.2087612,-78.5002273,"ND","00:54:36","numeric"
"76",197,-0.2602807,-78.5227633,"ND","03:05:52","numeric"
"77",39,-0.2198762,-78.5070616," CENTRO HISTORICO","04:09:08","character"
"78",152,-0.2204609,-78.5107952," CENTRO HISTORICO","14:52:19","POSIXct"
"79",130,-0.1568178,-78.4395236," NAYON","21:35:36","numeric"
"80",208,-0.2942451,-78.4430024,"ND","06:55:52","numeric"
"81",173,-0.1719937,-78.4875727,"ND","07:22:09","numeric"
"82",265,-0.211813,-78.506782,"ND","13:44:17","character"
"83",264,-0.228977,-78.518449,"ND","23:54:36","POSIXct"
"84",253,-0.219367,-78.50844,"ND","05:35:09","numeric"
"85",130,-0.1568178,-78.4395236," NAYON","12:52:20","numeric"
"86",47,-0.2214185,-78.5127211," CENTRO HISTORICO","04:47:54","numeric"
"87",111,-0.0886416,-78.4709001," CARCELEN","10:17:19","character"
"88",254,-0.219013,-78.508637,"ND","22:47:52","POSIXct"
"89",28,-0.2210886,-78.5139468," CENTRO HISTORICO","23:07:40","numeric"
"90",241,-0.166931,-78.308594,"ND","23:09:33","numeric"
"91",70,-0.1923677,-78.4883291," LA CAROLINA","04:10:39","numeric"
"92",47,-0.2214185,-78.5127211," CENTRO HISTORICO","07:59:36","character"
"93",205,-0.2863944,-78.4464437,"ND","05:21:30","POSIXct"
"94",110,-0.203252,-78.4957051," NO DEFINIDO","22:54:25","numeric"
"95",1,-0.2101185,-78.5003829," CENTRO HISTORICO","23:49:39","numeric"
"96",30,-0.2207828,-78.5104116," CENTRO HISTORICO","16:36:55","numeric"
"97",189,-0.2784766,-78.5428262,"ND","12:40:58","character"
"98",149,-0.2264798,-78.5129893,"ND","07:47:37","POSIXct"
"99",262,-0.227709999999999,-78.511678,"ND","21:48:05","numeric"
"100",198,-0.2671578,-78.5270655,"ND","03:31:16","numeric"
"101",206,-0.285418,-78.444947,"ND","04:34:46","numeric"
"102",95,-0.1659212,-78.4924221," Parque Suecia","10:10:30","character"
"103",87,-0.2096066,-78.4832425," LA FLORESTA","11:52:35","POSIXct"
"104",213,-0.3064248,-78.4363854,"ND","14:26:12","numeric"
"105",265,-0.211813,-78.506782,"ND","10:24:14","numeric"
"106",86,-0.2088568,-78.482956," LA FLORESTA","07:10:58","numeric"
"107",147,-0.2394026,-78.5169268," CHIMBACALLE","18:11:26","character"
"108",216,-0.2863836,-78.4403578,"ND","15:22:34","POSIXct"
"109",189,-0.2784766,-78.5428262,"ND","22:07:47","numeric"
"110",17,-0.2206594,-78.5144967," CENTRO HISTORICO","08:23:51","numeric"
"111",15,-0.2185432,-78.5123696," CENTRO HISTORICO","18:17:04","numeric"
"112",41,-0.2228065,-78.5125803," CENTRO HISTORICO","14:42:31","character"
"113",142,-0.1265143,-78.3184862," Antiguo Convenio","17:53:25","POSIXct"
"114",164,-0.2097751,-78.5006028,"ND","03:24:05","numeric"
"115",76,-0.2041237,-78.4814931," LA FLORESTA","04:23:24","numeric"
"116",212,-0.3065536,-78.438035,"ND","10:17:00","numeric"
"117",161,-0.2008649,-78.4970462," SANTA CLARA","18:59:25","character"
"118",210,-0.3010229,-78.4456095,"ND","00:36:32","POSIXct"
"119",150,-0.2233523,-78.512705," CENTRO HISTORICO","15:13:38","numeric"
"120",186,-0.2285236,-78.5068631," LA MARIN","16:49:16","numeric"
"121",149,-0.2264798,-78.5129893,"ND","21:04:57","numeric"
"122",262,-0.227709999999999,-78.511678,"ND","04:09:23","character"
"123",52,-0.1839268,-78.4869182," LA CAROLINA","13:07:04","POSIXct"
"124",1,-0.2101185,-78.5003829," CENTRO HISTORICO","20:22:19","numeric"
"125",98,-0.1450108,-78.4870148," Bicentenario","22:50:13","numeric"
"126",177,-0.1970883,-78.5000396,"ND","16:01:37","numeric"
"127",157,-0.1979574,-78.4957749,"ND","19:20:16","character"
"128",109,-0.2019538,-78.501724," NO DEFINIDO","03:01:55","POSIXct"
"129",252,-0.219911,-78.509958,"ND","13:09:20","numeric"
"130",51,-0.2186907,-78.5085744," CENTRO HISTORICO","12:24:05","numeric"
"131",82,-0.2082518,-78.4902239," LA FLORESTA","10:20:50","numeric"
"132",241,-0.166931,-78.308594,"ND","08:00:18","character"
"133",78,-0.2055912,-78.4844403," LA FLORESTA","05:40:43","POSIXct"
"134",3,-0.2235964,-78.5129652," CENTRO HISTORICO","15:35:30","numeric"
"135",228,-0.3119072,-78.4717798,"ND","05:30:05","numeric"
"136",40,-0.2198333,-78.51322," CENTRO HISTORICO","18:06:02","numeric"
"137",158,-0.1982256,-78.4959358,"ND","02:45:26","character"
"138",188,-0.272726,-78.5379767,"ND","15:58:27","POSIXct"
"139",137,-0.3446081,-78.55937," GUAMANI","10:59:17","numeric"
"140",33,-0.2110357,-78.4967566," CENTRO HISTORICO","09:47:02","numeric"
"141",78,-0.2055912,-78.4844403," LA FLORESTA","00:52:53","numeric"
"142",255,-0.218764,-78.511859,"ND","06:50:14","character"
"143",192,-0.1636789,-78.4848046," EL INCA","06:02:34","POSIXct"
"144",206,-0.285418,-78.444947,"ND","20:16:14","numeric"
"145",88,-0.2102299,-78.4825548," LA FLORESTA","07:39:46","numeric"
"146",78,-0.2055912,-78.4844403," LA FLORESTA","06:24:16","numeric"
"147",253,-0.219367,-78.50844,"ND","03:03:17","character"
"148",91,-0.2126498,-78.4847694," LA FLORESTA","23:49:54","POSIXct"
"149",149,-0.2264798,-78.5129893,"ND","12:59:48","numeric"
"150",131,-0.1988908,-78.4345293," Antiguo Convenio","02:57:05","numeric"
"151",201,-0.2935825,-78.5400582,"ND","20:54:40","numeric"
"152",9,-0.2219683,-78.5141694," CENTRO HISTORICO","00:54:55","character"
"153",35,-0.2173174,-78.5090894," CENTRO HISTORICO","00:17:09","POSIXct"
"154",104,-0.239890699999999,-78.516503," NO DEFINIDO","05:56:52","numeric"
"155",260,-0.224285,-78.514084,"ND","20:13:15","numeric"
"156",236,-0.198408,-78.424648," CUMBAYA","17:12:24","numeric"
"157",93,-0.1993414,-78.4754705," LA FLORESTA","13:52:45","character"
"158",114,-0.2856326,-78.441098," EL TINGO","02:02:40","POSIXct"
"159",48,-0.2228883,-78.5104707," CENTRO HISTORICO","09:47:23","numeric"
"160",53,-0.1863515,-78.4854832," LA CAROLINA","15:55:36","numeric"
"161",18,-0.2175588,-78.5131609," CENTRO HISTORICO","17:31:50","numeric"
"162",98,-0.1450108,-78.4870148," Bicentenario","05:17:25","character"
"163",115,-0.2921986,-78.4001434," LA MERCED","11:29:51","POSIXct"
"164",151,-0.2340918,-78.5142767,"ND","17:05:04","numeric"
"165",123,-0.2063694,-78.4962994," LA MARISCAL","16:47:07","numeric"
"166",157,-0.1979574,-78.4957749,"ND","04:05:56","numeric"
"167",234,-0.2117814,-78.4056902,"ND","18:25:56","character"
"168",169,-0.1846269,-78.4905338,"ND","21:30:17","POSIXct"
"169",104,-0.239890699999999,-78.516503," NO DEFINIDO","20:01:14","numeric"
"170",38,-0.2212495,-78.5161972," CENTRO HISTORICO","22:34:46","numeric"
"171",136,-0.2728506,-78.5372716," SOLANDA","21:30:41","numeric"
"172",174,-0.2026673,-78.486886,"ND","20:54:45","character"
"173",100,-0.1420711,-78.4883022," Bicentenario","12:41:46","POSIXct"
"174",37,-0.2076293,-78.5052967," CENTRO HISTORICO","07:01:01","numeric"
"175",252,-0.219911,-78.509958,"ND","07:42:27","numeric"
"176",59,-0.1833843,-78.4823471," LA CAROLINA","14:57:02","numeric"
"177",107,-0.238544299999999,-78.5251665," NO DEFINIDO","12:04:27","character"
"178",112,-0.2877891,-78.5475254," NO DEFINIDO","16:53:06","POSIXct"
"179",268,-0.126856,-78.470375,"ND","04:19:36","numeric"
"180",259,-0.223575,-78.515831,"ND","18:55:32","numeric"
"181",10,-0.2234436,-78.5163448," CENTRO HISTORICO","05:51:36","numeric"
"182",35,-0.2173174,-78.5090894," CENTRO HISTORICO","09:08:37","character"
"183",251,-0.221476,-78.510911,"ND","15:41:33","POSIXct"
"184",264,-0.228977,-78.518449,"ND","02:44:15","numeric"
"185",101,-0.2092118,-78.4956193," NO DEFINIDO","10:06:31","numeric"
"186",60,-0.1876121,-78.487523," LA CAROLINA","07:39:33","numeric"
"187",25,-0.2141417,-78.5022765," CENTRO HISTORICO","16:02:00","character"
"188",198,-0.2671578,-78.5270655,"ND","20:13:28","POSIXct"
"189",217,-0.2849406,-78.4418088,"ND","15:59:53","numeric"
"190",121,-0.113134,-78.4945629999999," LA DELICIA","08:50:40","numeric"
"191",208,-0.2942451,-78.4430024,"ND","12:14:31","numeric"
"192",93,-0.1993414,-78.4754705," LA FLORESTA","15:41:19","character"
"193",156,-0.2091367,-78.4959358,"ND","10:40:46","POSIXct"
"194",34,-0.2220435,-78.5160148," CENTRO HISTORICO","08:50:31","numeric"
"195",8,-0.2232826,-78.5160497," CENTRO HISTORICO","07:14:53","numeric"
"196",98,-0.1450108,-78.4870148," Bicentenario","00:07:34","numeric"
"197",189,-0.2784766,-78.5428262,"ND","07:04:21","character"
"198",206,-0.285418,-78.444947,"ND","10:47:37","POSIXct"
"199",180,-0.2365594,-78.527441,"ND","05:12:52","numeric"
"200",143,-0.208611,-78.3934164," TUMBACO","12:42:26","numeric"
"201",41,-0.2228065,-78.5125803," CENTRO HISTORICO","18:40:00","numeric"
"202",39,-0.2198762,-78.5070616," CENTRO HISTORICO","02:13:44","character"
"203",78,-0.2055912,-78.4844403," LA FLORESTA","13:01:41","POSIXct"
"204",265,-0.211813,-78.506782,"ND","15:56:48","numeric"
"205",208,-0.2942451,-78.4430024,"ND","01:10:37","numeric"
"206",56,-0.1880037,-78.4855529," LA CAROLINA","20:48:39","numeric"
"207",134,-0.1809684,-78.4926689," Antiguo Convenio","14:43:32","character"
"208",253,-0.219367,-78.50844,"ND","02:34:54","POSIXct"
"209",87,-0.2096066,-78.4832425," LA FLORESTA","18:20:21","numeric"
"210",138,-0.1941486,-78.5120988," Antiguo Convenio","01:59:31","numeric"
"211",53,-0.1863515,-78.4854832," LA CAROLINA","11:00:01","numeric"
"212",79,-0.2078069,-78.487842," LA FLORESTA","00:26:15","character"
"213",68,-0.2074845,-78.5122168," LA CAROLINA","14:18:18","POSIXct"
"214",23,-0.2133263,-78.5077858," CENTRO HISTORICO","07:39:19","numeric"
"215",174,-0.2026673,-78.486886,"ND","08:40:41","numeric"
"216",6,-0.2238485,-78.5151109," CENTRO HISTORICO","16:31:59","numeric"
"217",177,-0.1970883,-78.5000396,"ND","05:56:59","character"
"218",185,-0.2952455,-78.5559046," QUITUMBE","05:08:20","POSIXct"
"219",257,-0.218603,-78.511359,"ND","06:55:45","numeric"
"220",2,-0.2200103,-78.5150975," CENTRO HISTORICO","18:32:39","numeric"
"221",29,-0.2218503,-78.5132253," CENTRO HISTORICO","12:57:43","numeric"
"222",154,-0.2171994,-78.5053825," CENTRO HISTORICO","07:20:01","character"
"223",25,-0.2141417,-78.5022765," CENTRO HISTORICO","01:50:42","POSIXct"
"224",77,-0.2048775,-78.482971," LA FLORESTA","15:23:04","numeric"
"225",227,-0.2780099,-78.4567434,"ND","05:44:32","numeric"
"226",69,-0.3917269,-78.5423622," LA CAROLINA","11:31:45","numeric"
"227",248,-0.220188,-78.512844,"ND","22:47:49","character"
"228",148,-0.2310341,-78.5133702,"ND","17:33:22","POSIXct"
"229",6,-0.2238485,-78.5151109," CENTRO HISTORICO","11:49:26","numeric"
"230",105,-0.2174944,-78.5187292," NO DEFINIDO","01:38:09","numeric"
"231",231,-0.2105422,-78.4464598," CUMBAYA","02:41:11","numeric"
"232",117,-0.099136,-78.453081," NO DEFINIDO","20:44:50","character"
"233",63,-0.17665,-78.4828306," LA CAROLINA","01:58:23","POSIXct"
"234",118,-0.201435,-78.496327," NO DEFINIDO","14:56:44","numeric"
"235",1,-0.2101185,-78.5003829," CENTRO HISTORICO","12:40:03","numeric"
"236",204,-0.2895701,-78.5385132,"ND","09:56:24","numeric"
"237",183,-0.2575448,-78.5436416,"ND","12:56:54","character"
"238",187,-0.258843,-78.5297155,"ND","12:42:31","POSIXct"
"239",170,-0.1854047,-78.4908557,"ND","00:24:50","numeric"
"240",131,-0.1988908,-78.4345293," Antiguo Convenio","13:47:17","numeric"
"241",67,-0.2076481,-78.512139," LA CAROLINA","23:26:27","numeric"
"242",171,-0.1818374,-78.4898365," LA CAROLINA","16:23:04","character"
"243",108,-0.2070983,-78.4953994," NO DEFINIDO","18:32:45","POSIXct"
"244",17,-0.2206594,-78.5144967," CENTRO HISTORICO","19:41:00","numeric"
"245",100,-0.1420711,-78.4883022," Bicentenario","23:33:46","numeric"
"246",170,-0.1854047,-78.4908557,"ND","17:17:10","numeric"
"247",46,-0.2167434,-78.5085985," CENTRO HISTORICO","01:52:39","character"
"248",174,-0.2026673,-78.486886,"ND","19:10:37","POSIXct"
"249",77,-0.2048775,-78.482971," LA FLORESTA","04:17:24","numeric"
"250",168,-0.1888808,-78.4921646,"ND","02:52:45","numeric"
"251",268,-0.126856,-78.470375,"ND","00:47:33","numeric"
"252",55,-0.1882612,-78.4840509," LA CAROLINA","02:06:18","character"
"253",234,-0.2117814,-78.4056902,"ND","10:09:18","POSIXct"
"254",68,-0.2074845,-78.5122168," LA CAROLINA","19:43:20","numeric"
"255",146,-0.2444665,-78.5189438," VILLAFLORA","09:11:05","numeric"
"256",211,-0.3069049,-78.4381798,"ND","05:30:07","numeric"
"257",159,-0.1915898,-78.4930927,"ND","17:38:35","character"
"258",11,-0.2218235,-78.5181606," CENTRO HISTORICO","18:57:19","POSIXct"
"259",234,-0.2117814,-78.4056902,"ND","22:08:46","numeric"
"260",180,-0.2365594,-78.527441,"ND","08:33:37","numeric"
"261",101,-0.2092118,-78.4956193," NO DEFINIDO","23:46:25","numeric"
"262",180,-0.2365594,-78.527441,"ND","16:08:10","character"
"263",172,-0.1779911,-78.4887099,"ND","06:36:53","POSIXct"
"264",80,-0.206621,-78.4853789999999," LA FLORESTA","14:59:44","numeric"
"265",64,-0.1767251,-78.4821975," LA CAROLINA","04:23:37","numeric"
"266",52,-0.1839268,-78.4869182," LA CAROLINA","09:51:34","numeric"
"267",49,-0.2234865,-78.5092154," CENTRO HISTORICO","20:19:53","character"
"268",59,-0.1833843,-78.4823471," LA CAROLINA","14:51:41","POSIXct"
"269",217,-0.2849406,-78.4418088,"ND","12:36:11","numeric"
"270",140,-0.1801369,-78.4671879," Antiguo Convenio","19:20:53","numeric"
"271",11,-0.2218235,-78.5181606," CENTRO HISTORICO","05:57:53","numeric"
"272",168,-0.1888808,-78.4921646,"ND","18:53:50","character"
"273",182,-0.2457754,-78.5342002,"ND","11:45:37","POSIXct"
"274",220,-0.2802709,-78.4628319,"ND","13:38:56","numeric"
"275",8,-0.2232826,-78.5160497," CENTRO HISTORICO","22:09:44","numeric"
"276",134,-0.1809684,-78.4926689," Antiguo Convenio","03:23:07","numeric"
"277",97,-0.1450752,-78.4885597," Bicentenario","03:48:19","character"
"278",6,-0.2238485,-78.5151109," CENTRO HISTORICO","21:45:11","POSIXct"
"279",26,-0.2203993,-78.5131261," CENTRO HISTORICO","22:11:31","numeric"
"280",63,-0.17665,-78.4828306," LA CAROLINA","11:07:51","numeric"
"281",143,-0.208611,-78.3934164," TUMBACO","10:24:54","numeric"
"282",113,-0.2921879,-78.4777826," CONOCOTO","02:42:22","character"
"283",261,-0.22564,-78.513395,"ND","21:40:56","POSIXct"
"284",55,-0.1882612,-78.4840509," LA CAROLINA","06:12:56","numeric"
"285",239,-0.119253,-78.490336," LA OFELIA","07:42:44","numeric"
"286",50,-0.2178056,-78.5052806," CENTRO HISTORICO","16:16:11","numeric"
"287",34,-0.2220435,-78.5160148," CENTRO HISTORICO","17:19:36","character"
"288",201,-0.2935825,-78.5400582,"ND","10:45:26","POSIXct"
"289",245,-0.220349,-78.51105,"ND","05:36:29","numeric"
"290",212,-0.3065536,-78.438035,"ND","18:21:58","numeric"
"291",160,-0.1918849,-78.4933233,"ND","16:07:07","numeric"
"292",259,-0.223575,-78.515831,"ND","16:32:57","character"
"293",129,-0.2219094,-78.5084766," LA MARIN","20:20:31","POSIXct"
"294",172,-0.1779911,-78.4887099,"ND","15:13:00","numeric"
"295",125,-0.1720527,-78.4847778," Antiguo Convenio","14:44:19","numeric"
"296",121,-0.113134,-78.4945629999999," LA DELICIA","10:57:49","numeric"
"297",207,-0.2876335,-78.4458268,"ND","21:13:54","character"
"298",147,-0.2394026,-78.5169268," CHIMBACALLE","01:54:47","POSIXct"
"299",102,-0.2351862,-78.5164869," NO DEFINIDO","09:27:47","numeric"
"300",185,-0.2952455,-78.5559046," QUITUMBE","10:38:49","numeric"
"301",202,-0.2997623,-78.542397,"ND","05:05:56","numeric"
"302",208,-0.2942451,-78.4430024,"ND","08:45:16","character"
"303",83,-0.2051081,-78.4854009," LA FLORESTA","09:19:32","POSIXct"
"304",26,-0.2203993,-78.5131261," CENTRO HISTORICO","03:48:52","numeric"
"305",237,-0.2493374,-78.4431392," PINTAG","15:48:50","numeric"
"306",208,-0.2942451,-78.4430024,"ND","21:03:06","numeric"
"307",185,-0.2952455,-78.5559046," QUITUMBE","16:05:36","character"
"308",28,-0.2210886,-78.5139468," CENTRO HISTORICO","09:20:17","POSIXct"
"309",97,-0.1450752,-78.4885597," Bicentenario","13:01:33","numeric"
"310",25,-0.2141417,-78.5022765," CENTRO HISTORICO","00:20:16","numeric"
"311",22,-0.2121542,-78.5065841," CENTRO HISTORICO","20:20:04","numeric"
"312",134,-0.1809684,-78.4926689," Antiguo Convenio","15:27:05","character"
"313",98,-0.1450108,-78.4870148," Bicentenario","11:02:28","POSIXct"
"314",145,-0.2529851,-78.5213685," EL RECREO","14:43:09","numeric"
"315",129,-0.2219094,-78.5084766," LA MARIN","18:18:37","numeric"
"316",4,-0.224385,-78.5137859," CENTRO HISTORICO","05:09:13","numeric"
"317",1,-0.2101185,-78.5003829," CENTRO HISTORICO","18:39:22","character"
"318",213,-0.3064248,-78.4363854,"ND","00:21:40","POSIXct"
"319",85,-0.2075673,-78.4837538," LA FLORESTA","07:02:10","numeric"
"320",69,-0.3917269,-78.5423622," LA CAROLINA","13:52:46","numeric"
"321",240,-0.20815,-78.512958,"ND","22:02:19","numeric"
"322",7,-0.2235642,-78.5155964," CENTRO HISTORICO","18:40:24","character"
"323",42,-0.2240363,-78.5217735," CENTRO HISTORICO","16:49:58","POSIXct"
"324",100,-0.1420711,-78.4883022," Bicentenario","03:42:48","numeric"
"325",66,-0.2689066,-78.4674454," LA CAROLINA","06:44:40","numeric"
"326",14,-0.221448,-78.5115623," CENTRO HISTORICO","03:33:49","numeric"
"327",106,-0.2205414,-78.5014772," NO DEFINIDO","20:51:17","character"
"328",213,-0.3064248,-78.4363854,"ND","13:23:20","POSIXct"
"329",116,-0.246505,-78.5238898," NO DEFINIDO","11:46:07","numeric"
"330",144,-0.219254,-78.38552," TUMBACO","13:12:53","numeric"
"331",199,-0.271696,-78.5290182,"ND","09:24:38","numeric"
"332",156,-0.2091367,-78.4959358,"ND","05:02:09","character"
"333",90,-0.21347,-78.4828919999999," LA FLORESTA","11:36:13","POSIXct"
"334",192,-0.1636789,-78.4848046," EL INCA","12:47:15","numeric"
"335",47,-0.2214185,-78.5127211," CENTRO HISTORICO","00:47:56","numeric"
"336",178,-0.1994594,-78.500737,"ND","08:40:18","numeric"
"337",58,-0.1830296,-78.4822974," LA CAROLINA","14:44:40","character"
"338",220,-0.2802709,-78.4628319,"ND","00:00:31","POSIXct"
"339",195,-0.1701591,-78.4761143,"ND","02:08:06","numeric"
"340",88,-0.2102299,-78.4825548," LA FLORESTA","20:16:56","numeric"
"341",53,-0.1863515,-78.4854832," LA CAROLINA","16:22:23","numeric"
"342",232,-0.2244092,-78.4281992," CUMBAYA","09:41:45","character"
"343",190,-0.2834332,-78.5443068," QUITUMBE","05:46:35","POSIXct"
"344",77,-0.2048775,-78.482971," LA FLORESTA","01:13:37","numeric"
"345",206,-0.285418,-78.444947,"ND","14:38:03","numeric"
"346",197,-0.2602807,-78.5227633,"ND","06:31:09","numeric"
"347",232,-0.2244092,-78.4281992," CUMBAYA","14:46:41","character"
"348",186,-0.2285236,-78.5068631," LA MARIN","02:34:06","POSIXct"
"349",3,-0.2235964,-78.5129652," CENTRO HISTORICO","23:17:23","numeric"
"350",242,-0.220391,-78.511719,"ND","22:42:22","numeric"
"351",184,-0.2613428,-78.5471499,"ND","20:37:06","numeric"
"352",132,-0.2013945,-78.4794541," GUAPULO","18:33:08","character"
"353",137,-0.3446081,-78.55937," GUAMANI","07:20:32","POSIXct"
"354",125,-0.1720527,-78.4847778," Antiguo Convenio","04:40:35","numeric"
"355",190,-0.2834332,-78.5443068," QUITUMBE","12:26:05","numeric"
"356",198,-0.2671578,-78.5270655,"ND","20:35:27","numeric"
"357",27,-0.2186639,-78.5102991," CENTRO HISTORICO","19:16:40","character"
"358",189,-0.2784766,-78.5428262,"ND","21:27:00","POSIXct"
"359",209,-0.2988879,-78.4438151,"ND","08:45:47","numeric"
"360",117,-0.099136,-78.453081," NO DEFINIDO","10:08:34","numeric"
"361",171,-0.1818374,-78.4898365," LA CAROLINA","20:01:59","numeric"
"362",244,-0.219732,-78.511187,"ND","13:36:10","character"
"363",207,-0.2876335,-78.4458268,"ND","00:23:26","POSIXct"
"364",256,-0.21911,-78.512791,"ND","20:00:36","numeric"
"365",126,-0.2030404,-78.4895484," LA MARISCAL","00:18:11","numeric"
"366",129,-0.2219094,-78.5084766," LA MARIN","16:38:49","numeric"
"367",243,-0.219723,-78.511905,"ND","09:56:56","character"
"368",44,-0.2234167,-78.5098243," CENTRO HISTORICO","05:51:07","POSIXct"
"369",199,-0.271696,-78.5290182,"ND","16:43:20","numeric"
"370",6,-0.2238485,-78.5151109," CENTRO HISTORICO","16:00:53","numeric"
"371",113,-0.2921879,-78.4777826," CONOCOTO","05:06:33","numeric"
"372",189,-0.2784766,-78.5428262,"ND","17:56:17","character"
"373",89,-0.210997,-78.482433," LA FLORESTA","06:33:00","POSIXct"
"374",106,-0.2205414,-78.5014772," NO DEFINIDO","11:06:31","numeric"
"375",227,-0.2780099,-78.4567434,"ND","23:24:30","numeric"
